group, axis, value, description
코나(기본형, PTC, 모던), 최고속도, 12.75337838,
코나(기본형, PTC, 모던), 주행거리, 17.68123962,
코나(기본형, PTC, 모던), 연비, 16.25,
코나(기본형, PTC, 모던), 가격, 13.58796678,
아이오닉(HP), 최고속도, 12.33108108,
아이오닉(HP), 주행거리, 8.785279469,
아이오닉(HP), 연비, 25,
아이오닉(HP), 가격, 17.64688581,
아이오닉5(롱레인지 RWD, 2WD 프레스티지), 최고속도, 16.55405405,
아이오닉5(롱레인지 RWD, 2WD 프레스티지), 주행거리, 17.63973437,
아이오닉5(롱레인지 RWD, 2WD 프레스티지), 연비, 7.5,
아이오닉5(롱레인지 RWD, 2WD 프레스티지), 가격, 9.087860891


